OBJECTID,ST_NAME,FREQUENCY,COUNT_OBJECTID
1, ,780,780
2,0B,3,3
3,10B,1,1
4,11,3,3
5,12,7,7
6,126A,5,5
7,126B,5,5
8,12A,6,6
9,12B,14,14
10,12C,2,2
11,131,1,1
12,131A,5,5
13,131B,2,2
14,132,5,5
15,137,1,1
16,138,1,1
17,13A,1,1
18,140,6,6
19,151A,5,5
20,151B,9,9
21,155,2,2
22,15A,1,1
23,15B,5,5
24,16,3,3
25,161,3,3
26,17,19,19
27,185A,1,1
28,185B,2,2
29,1A,1,1
30,1B,3,3
31,1C,1,1
32,1D,5,5
33,20,8,8
34,20A,8,8
35,21,5,5
36,22,1,1
37,250A,5,5
38,250B,6,6
39,259A,3,3
40,259A-B,2,2
41,259B,6,6
42,262,3,3
43,268,1,1
44,269,5,5
45,277A,5,5
46,277B,3,3
47,27A,3,3
48,27B,3,3
49,29,11,11
50,292,2,2
51,292A,3,3
52,292B,1,1
53,293B,5,5
54,3,1,1
55,31,4,4
56,31A,5,5
57,31B,8,8
58,321,3,3
59,33,4,4
60,345A,7,7
61,345B,5,5
62,349,14,14
63,40,1,1
64,40A,2,2
65,40B,3,3
66,5,8,8
67,51H,5,5
68,51H-I,2,2
69,51I,5,5
70,53,3,3
71,53B,4,4
72,53C,5,5
73,59A,2,2
74,59B,2,2
75,63,3,3
76,7,10,10
77,74B,3,3
78,78A,2,2
79,78B,1,1
80,79A,2,2
81,79B,2,2
82,97A,3,3
83,97B,2,2
84,BARACK OBAMA PRESIDENTIAL EXPY,633,633
85,BISHOP FORD FWY,329,329
86,CHICAGO SKWY E,61,61
87,CHICAGO SKWY W,62,62
88,CLINE AVE,182,182
89,DAN RYAN EXPRESS LANE,115,115
90,DAN RYAN EXPY E,145,145
91,DAN RYAN EXPY W,151,151
92,EDENS EXPY E,162,162
93,EDENS EXPY SPUR E,48,48
94,EDENS EXPY SPUR W,55,55
95,EDENS EXPY W,156,156
96,EISENHOWER EXPY,358,358
97,EISENHOWER EXPY E,58,58
98,EISENHOWER EXPY W,51,51
99,I-190,94,94
100,I-290,142,142
101,I-294,1042,1042
102,I-355,642,642
103,I-39,791,791
104,I-41,287,287
105,I-43,285,285
106,I-55,272,272
107,I-57,604,604
108,I-65,290,290
109,I-80,1358,1358
110,I-88,823,823
111,I-90,1469,1469
112,I-94,539,539
113,IL-390,186,186
114,IL-53,170,170
115,IL-53-EXT,32,32
116,IN-912,26,26
117,MILWAUKEE RD,11,11
118,N CLINE AVE,9,9
119,SKOKIE HWY,67,67
120,ULYSSES S GRANT MEMORIAL HWY,115,115
121,US-12,136,136
122,W CONGRESS PKWY,12,12